311
4
Arcs	Cost	Risk_C1	Risk_C2	Risk_C3	Risk_C4
216	215	6.9	29603	23682.46	47364.912	29603
216	217	4.2	18019	14415.41	28830.816	18019
217	216	4.2	18019	14415.41	28830.816	18019
217	218	1.7	7293	5834.81	11669.616	7293
218	217	1.7	7293	5834.81	11669.616	7293
218	219	2	8580	6864.48	13728.96	8580
219	4	4.75	20378	16303.14	32606.28	20378
219	218	2	8580	6864.48	13728.96	8580
220	0	1.25	5362	4290.3	8580.6	5362
220	193	2.75	11798	9438.66	18877.32	11798
221	224	2.5	10725	8580.6	17161.2	10725
221	256	1.75	7508	6006.42	12012.84	7508
222	18	5.1	21880	17504.42	35008.848	21880
222	256	2.45	10511	8408.99	16817.976	10511
223	17	4.75	15850	12680.22	25360.44	15850
223	19	2.45	8175	6540.32	13080.648	8175
224	24	6.8	29174	23339.23	46678.464	29174
224	221	2.5	10725	8580.6	17161.2	10725
224	229	8	34322	27457.92	54915.84	34322
225	41	1.9	8151	6521.26	13042.512	8151
225	230	9.6	41186	32949.5	65899.008	41186
226	12	22	94386	75509.28	151018.56	94386
226	187	22	94386	75509.28	151018.56	94386
226	227	22	94386	75509.28	151018.56	94386
227	30	22	47648	38118.96	76237.92	47648
227	226	22	94386	75509.28	151018.56	94386
227	228	8.6	36896	29517.26	59034.528	36896
227	255	7	30032	24025.68	48051.36	30032
228	186	16	68644	54915.84	109831.68	68644
228	227	8.6	36896	29517.26	59034.528	36896
228	229	11.8	50625	40500.43	81000.864	50625
228	256	9.15	39256	31405	62809.992	39256
229	224	8	34322	27457.92	54915.84	34322
229	228	11.8	50625	40500.43	81000.864	50625
229	253	6.7	28745	22996.01	45992.016	28745
230	225	9.6	41186	32949.5	65899.008	41186
230	231	7.2	30890	24712.13	49424.256	30890
231	45	13.6	58348	46678.46	93356.928	58348
231	62	1	4290	3432.24	6864.48	4290
231	230	7.2	30890	24712.13	49424.256	30890
231	232	5.4	23167	18534.1	37068.192	23167
232	46	19.1	81944	65555.78	131111.568	81944
232	231	5.4	23167	18534.1	37068.192	23167
232	254	14	60064	48051.36	96102.72	60064
233	54	18.1	16444	13155.8	26311.608	16444
233	236	5.3	22738	18190.87	36381.744	22738
233	252	16	68644	54915.84	109831.68	68644
234	73	12.3	52770	42216.55	84433.104	52770
234	74	5.2	22309	17847.65	35695.296	22309
234	235	2.5	10725	8580.6	17161.2	10725
234	252	6	25741	20593.44	41186.88	25741
235	234	2.5	10725	8580.6	17161.2	10725
235	236	5.3	22738	18190.87	36381.744	22738
236	77	16.7	71648	57318.41	114636.816	71648
236	233	5.3	22738	18190.87	36381.744	22738
236	235	5.3	22738	18190.87	36381.744	22738
237	76	6	25741	20593.44	41186.88	25741
237	88	1	4290	3432.24	6864.48	4290
237	238	8.5	36467	29174.04	58348.08	36467
238	79	8.2	35180	28144.37	56288.736	35180
238	237	8.5	36467	29174.04	58348.08	36467
238	241	11.5	49338	39470.76	78941.52	49338
239	80	18.5	79370	63496.44	126992.88	79370
239	240	16.8	72077	57661.63	115323.264	72077
239	295	17.2	73793	59034.53	118069.056	73793
240	103	5.5	23596	18877.32	37754.64	23596
240	239	16.8	72077	57661.63	115323.264	72077
240	241	16.3	69931	55945.51	111891.024	69931
241	102	15.1	64783	51826.82	103653.648	64783
241	238	11.5	49338	39470.76	78941.52	49338
241	240	16.3	69931	55945.51	111891.024	69931
242	101	8.2	35180	28144.37	56288.736	35180
242	111	2	8580	6864.48	13728.96	8580
243	136	3	12870	10296.72	20593.44	12870
243	245	4	17161	13728.96	27457.92	17161
244	113	8.5	36467	29174.04	58348.08	36467
244	127	3	12870	10296.72	20593.44	12870
244	142	14.7	63067	50453.93	100907.856	63067
244	307	15.5	103822	83058.3	166116.6	103822
245	140	6	25741	20593.44	41186.88	25741
245	243	4	17161	13728.96	27457.92	17161
246	140	4	17161	13728.96	27457.92	17161
246	154	3.8	16303	13042.51	26085.024	16303
246	155	6	25741	20593.44	41186.88	25741
247	171	13	87077	69661.8	139323.6	87077
247	173	18.5	123917	99134.1	198268.2	123917
247	248	3.4	14587	11669.62	23339.232	14587
248	170	15.6	104492	83594.16	167188.32	104492
248	247	3.4	14587	11669.62	23339.232	14587
248	249	14	60064	48051.36	96102.72	60064
249	159	7.8	33464	26771.47	53542.944	33464
249	248	14	60064	48051.36	96102.72	60064
249	250	11	47193	37754.64	75509.28	47193
250	177	15	64354	51483.6	102967.2	64354
250	249	11	47193	37754.64	75509.28	47193
250	251	7.2	30890	24712.13	49424.256	30890
251	158	2.5	10725	8580.6	17161.2	10725
251	204	8.5	36467	29174.04	58348.08	36467
251	250	7.2	30890	24712.13	49424.256	30890
252	70	15	64354	51483.6	102967.2	64354
252	71	7.5	32177	25741.8	51483.6	32177
252	233	16	68644	54915.84	109831.68	68644
252	234	6	25741	20593.44	41186.88	25741
253	28	6.2	26599	21279.89	42559.776	26599
253	229	6.7	28745	22996.01	45992.016	28745
253	255	9	38612	30890.16	61780.32	38612
254	232	14	60064	48051.36	96102.72	60064
254	285	7	6359	5087.88	10175.76	6359
255	227	7	30032	24025.68	48051.36	30032
255	253	9	38612	30890.16	61780.32	38612
256	221	1.75	7508	6006.42	12012.84	7508
256	222	2.45	10511	8408.99	16817.976	10511
256	228	9.15	39256	31405	62809.992	39256
257	16	3	6497	5198.04	10396.08	6497
257	258	22	47648	38118.96	76237.92	47648
257	262	20.5	44399	35519.94	71039.88	44399
257	269	27.6	59777	47821.97	95643.936	59777
258	257	22	47648	38118.96	76237.92	47648
258	259	9.4	20358	16287.19	32574.384	20358
258	261	13.6	29455	23564.45	47128.896	29455
259	36	15.8	34220	27376.34	54752.688	34220
259	258	9.4	20358	16287.19	32574.384	20358
259	260	12	25990	20792.16	41584.32	25990
259	269	6.75	14619	11695.59	23391.18	14619
260	33	16.7	36169	28935.76	57871.512	36169
260	34	10.3	22308	17846.6	35693.208	22308
260	259	12	25990	20792.16	41584.32	25990
260	261	15	32487	25990.2	51980.4	32487
261	31	21	45482	36386.28	72772.56	45482
261	32	24	51980	41584.32	83168.64	51980
261	258	13.6	29455	23564.45	47128.896	29455
261	260	15	32487	25990.2	51980.4	32487
261	262	4	8663	6930.72	13861.44	8663
262	15	19	41151	32920.92	65841.84	41151
262	257	20.5	44399	35519.94	71039.88	44399
262	261	4	8663	6930.72	13861.44	8663
263	66	1	2165	1732.68	3465.36	2165
263	264	15	32487	25990.2	51980.4	32487
263	265	19.9	43100	34480.33	68960.664	43100
263	274	10.5	22741	18193.14	36386.28	22741
264	32	12	20214	16171.68	32343.36	20214
264	263	15	32487	25990.2	51980.4	32487
264	265	20.5	34533	27626.62	55253.24	34533
264	267	17.3	37469	29975.36	59950.728	37469
264	273	9.7	21008	16807	33613.992	21008
265	65	2	4331	3465.36	6930.72	4331
265	263	19.9	43100	34480.33	68960.664	43100
265	264	20.5	34533	27626.62	55253.24	34533
265	266	10	21658	17326.8	34653.6	21658
266	48	4	8663	6930.72	13861.44	8663
266	265	10	21658	17326.8	34653.6	21658
266	267	17.4	37685	30148.63	60297.264	37685
267	32	17.3	37469	29975.36	59950.728	37469
267	264	17.3	37469	29975.36	59950.728	37469
267	266	17.4	37685	30148.63	60297.264	37685
267	268	20.2	43750	35000.14	70000.272	43750
268	30	6.5	14078	11262.42	22524.84	14078
268	267	20.2	43750	35000.14	70000.272	43750
269	257	27.6	59777	47821.97	95643.936	59777
269	259	6.75	14619	11695.59	23391.18	14619
270	34	12	25990	20792.16	41584.32	25990
270	35	6	12995	10396.08	20792.16	12995
270	271	5.5	11912	9529.74	19059.48	11912
270	310	4.5	9746	7797.06	15594.12	9746
271	270	5.5	11912	9529.74	19059.48	11912
271	272	14.1	30538	24430.79	48861.576	30538
271	308	18	38985	31188.24	62376.48	38985
272	32	12.6	27289	21831.77	43663.536	27289
272	34	10	21658	17326.8	34653.6	21658
272	271	14.1	30538	24430.79	48861.576	30538
272	273	4.8	10396	8316.86	16633.728	10396
273	264	9.7	21008	16807	33613.992	21008
273	272	4.8	10396	8316.86	16633.728	10396
273	274	12.5	27073	21658.5	43317	27073
274	263	10.5	22741	18193.14	36386.28	22741
274	273	12.5	27073	21658.5	43317	27073
274	308	23.9	51763	41411.05	82822.104	51763
275	49	20.1	18261	14609.48	29218.968	18261
275	56	34.1	30981	24785.24	49570.488	30981
275	278	27	24530	19624.68	39249.36	24530
275	282	20	18171	14536.8	29073.6	18171
275	283	7	6359	5087.88	10175.76	6359
276	94	5	4542	3634.2	7268.4	4542
276	279	20	18171	14536.8	29073.6	18171
277	54	35	31799	25439.4	50878.8	31799
277	55	19.3	17535	14028.01	28056.024	17535
277	89	20.3	18443	14754.85	29509.704	18443
277	280	9	8176	6541.56	13083.12	8176
278	48	3	2725	2180.52	4361.04	2725
278	64	2	4331	3465.36	6930.72	4331
278	275	27	24530	19624.68	39249.36	24530
278	283	28	25439	20351.52	40703.04	25439
278	286	18.5	16808	13446.54	26893.08	16808
279	56	40	36342	29073.6	58147.2	36342
279	57	32	29073	23258.88	46517.76	29073
279	276	20	18171	14536.8	29073.6	18171
279	280	18	16353	13083.12	26166.24	16353
280	90	13	11811	9448.92	18897.84	11811
280	277	9	8176	6541.56	13083.12	8176
280	279	18	16353	13083.12	26166.24	16353
280	281	40	36342	29073.6	58147.2	36342
281	55	20	18171	14536.8	29073.6	18171
281	56	35	31799	25439.4	50878.8	31799
281	280	40	36342	29073.6	58147.2	36342
282	56	34	30890	24712.56	49425.12	30890
282	275	20	18171	14536.8	29073.6	18171
282	285	12	10902	8722.08	17444.16	10902
283	275	7	6359	5087.88	10175.76	6359
283	278	28	25439	20351.52	40703.04	25439
283	284	8.7	7904	6323.51	12647.016	7904
284	283	8.7	7904	6323.51	12647.016	7904
284	285	8.4	7631	6105.46	12210.912	7631
284	286	12.5	11356	9085.5	18171	11356
285	53	12.6	11447	9158.18	18316.368	11447
285	254	7	6359	5087.88	10175.76	6359
285	282	12	10902	8722.08	17444.16	10902
285	284	8.4	7631	6105.46	12210.912	7631
286	278	18.5	16808	13446.54	26893.08	16808
286	284	12.5	11356	9085.5	18171	11356
287	133	8	19166	15333.12	30666.24	19166
287	149	21.6	144682	115745.76	231491.52	144682
288	118	3.2	7666	6133.25	12266.496	7666
288	289	21.1	50551	40441.1	80882.208	50551
289	120	17.2	41207	32966.21	65932.416	41207
289	288	21.1	50551	40441.1	80882.208	50551
289	290	21.8	52228	41782.75	83565.504	52228
290	84	60.9	145904	116723.38	233446.752	145904
290	115	29.5	70676	56540.88	113081.76	70676
290	289	21.8	52228	41782.75	83565.504	52228
290	291	13.4	32103	25682.98	51365.952	32103
291	117	7.4	17728	14183.14	28366.272	17728
291	290	13.4	32103	25682.98	51365.952	32103
292	131	2.2	5270	4216.61	8433.216	5270
292	293	12.6	30187	24149.66	48299.328	30187
293	292	12.6	30187	24149.66	48299.328	30187
293	298	8.1	19405	15524.78	31049.568	19405
294	130	9.8	23478	18783.07	37566.144	23478
294	303	13.2	88416	70733.52	141467.04	88416
295	84	58.5	250982	200786.04	401572.08	250982
295	105	12	28749	22999.68	45999.36	28749
295	106	18	43124	34499.52	68999.04	43124
295	239	17.2	73793	59034.53	118069.056	73793
296	104	14.5	34739	27791.28	55582.56	34739
296	105	15	35937	28749.6	57499.2	35937
296	114	2	4791	3833.28	7666.56	4791
297	148	8.6	57604	46083.96	92167.92	57604
297	298	21.9	146691	117353.34	234706.68	146691
297	300	13.7	91766	73412.82	146825.64	91766
298	293	8.1	19405	15524.78	31049.568	19405
298	297	21.9	146691	117353.34	234706.68	146691
298	299	5.5	36840	29472.3	58944.6	36840
299	298	5.5	36840	29472.3	58944.6	36840
299	300	11	73680	58944.6	117889.2	73680
300	297	13.7	91766	73412.82	146825.64	91766
300	299	11	73680	58944.6	117889.2	73680
300	301	5.8	38849	31079.88	62159.76	38849
301	147	9.2	61623	49299.12	98598.24	61623
301	300	5.8	38849	31079.88	62159.76	38849
302	146	9.5	63633	50906.7	101813.4	63633
302	147	20.8	139323	111458.88	222917.76	139323
302	303	4.7	31481	25185.42	50370.84	31481
303	113	41	274628	219702.6	439405.2	274628
303	294	13.2	88416	70733.52	141467.04	88416
303	302	4.7	31481	25185.42	50370.84	31481
304	144	6	40189	32151.6	64303.2	40189
304	145	9.8	65642	52514.28	105028.56	65642
304	173	3.8	25453	20362.68	40725.36	25453
304	174	2.5	16745	13396.5	26793	16745
305	145	5.2	34830	27864.72	55729.44	34830
305	306	18.2	121908	97526.52	195053.04	121908
306	144	7.2	48227	38581.92	77163.84	48227
306	305	18.2	121908	97526.52	195053.04	121908
306	307	14.7	98464	78771.42	157542.84	98464
307	143	10	66982	53586	107172	66982
307	244	15.5	103822	83058.3	166116.6	103822
307	306	14.7	98464	78771.42	157542.84	98464
308	67	2	4331	3465.36	6930.72	4331
308	271	18	38985	31188.24	62376.48	38985
308	274	23.9	51763	41411.05	82822.104	51763
308	310	10.4	22524	18019.87	36039.744	22524
309	58	35.6	32344	25875.5	51751.008	32344
309	59	64.4	58510	46808.5	93616.992	58510
309	95	2	1817	1453.68	2907.36	1817
310	35	9.4	20358	16287.19	32574.384	20358
310	270	4.5	9746	7797.06	15594.12	9746
310	308	10.4	22524	18019.87	36039.744	22524
EndArcs
source	dest	demand	nbTrucks
262	173	937	7
209	105	256	1
210	112	961	10
204	245	466	2
