311
3
Arcs	Cost	Risk_C1	Risk_C2	Risk_C3
248	247	3.4	14587	11669.62	23339.232
248	249	14	60064	48051.36	96102.72
249	159	7.8	33464	26771.47	53542.944
249	248	14	60064	48051.36	96102.72
249	250	11	47193	37754.64	75509.28
250	177	15	64354	51483.60	102967.2
250	249	11	47193	37754.64	75509.28
250	251	7.2	30890	24712.13	49424.256
251	158	2.5	10725	8580.60	17161.2
251	204	8.5	36467	29174.04	58348.08
251	250	7.2	30890	24712.13	49424.256
252	70	15	64354	51483.60	102967.2
252	71	7.5	32177	25741.80	51483.6
252	233	16	68644	54915.84	109831.68
252	234	6	25741	20593.44	41186.88
253	28	6.2	26599	21279.89	42559.776
253	229	6.7	28745	22996.01	45992.016
253	255	9	38612	30890.16	61780.32
254	232	14	60064	48051.36	96102.72
254	285	7	6359	5087.88	10175.76
255	227	7	30032	24025.68	48051.36
255	253	9	38612	30890.16	61780.32
256	221	1.75	7508	6006.42	12012.84
256	222	2.45	10511	8408.99	16817.976
256	228	9.15	39256	31405.00	62809.992
257	16	3	6497	5198.04	10396.08
257	258	22	47648	38118.96	76237.92
257	262	20.5	44399	35519.94	71039.88
257	269	27.6	59777	47821.97	95643.936
258	257	22	47648	38118.96	76237.92
258	259	9.4	20358	16287.19	32574.384
258	261	13.6	29455	23564.45	47128.896
259	36	15.8	34220	27376.34	54752.688
259	258	9.4	20358	16287.19	32574.384
259	260	12	25990	20792.16	41584.32
259	269	6.75	14619	11695.59	23391.18
260	33	16.7	36169	28935.76	57871.512
260	34	10.3	22308	17846.60	35693.208
260	259	12	25990	20792.16	41584.32
260	261	15	32487	25990.20	51980.4
261	31	21	45482	36386.28	72772.56
261	32	24	51980	41584.32	83168.64
261	258	13.6	29455	23564.45	47128.896
261	260	15	32487	25990.20	51980.4
261	262	4	8663	6930.72	13861.44
262	15	19	41151	32920.92	65841.84
262	257	20.5	44399	35519.94	71039.88
262	261	4	8663	6930.72	13861.44
263	66	1	2165	1732.68	3465.36
263	264	15	32487	25990.20	51980.4
263	265	19.9	43100	34480.33	68960.664
263	274	10.5	22741	18193.14	36386.28
264	32	12	20214	16171.68	32343.36
264	263	15	32487	25990.20	51980.4
264	265	20.5	34533	27626.62	55253.24
264	267	17.3	37469	29975.36	59950.728
264	273	9.7	21008	16807.00	33613.992
265	65	2	4331	3465.36	6930.72
265	263	19.9	43100	34480.33	68960.664
265	264	20.5	34533	27626.62	55253.24
265	266	10	21658	17326.80	34653.6
266	48	4	8663	6930.72	13861.44
266	265	10	21658	17326.80	34653.6
266	267	17.4	37685	30148.63	60297.264
267	32	17.3	37469	29975.36	59950.728
267	264	17.3	37469	29975.36	59950.728
267	266	17.4	37685	30148.63	60297.264
267	268	20.2	43750	35000.14	70000.272
268	30	6.5	14078	11262.42	22524.84
268	267	20.2	43750	35000.14	70000.272
269	257	27.6	59777	47821.97	95643.936
269	259	6.75	14619	11695.59	23391.18
270	34	12	25990	20792.16	41584.32
270	35	6	12995	10396.08	20792.16
270	271	5.5	11912	9529.74	19059.48
270	310	4.5	9746	7797.06	15594.12
271	270	5.5	11912	9529.74	19059.48
271	272	14.1	30538	24430.79	48861.576
271	308	18	38985	31188.24	62376.48
272	32	12.6	27289	21831.77	43663.536
272	34	10	21658	17326.80	34653.6
272	271	14.1	30538	24430.79	48861.576
272	273	4.8	10396	8316.86	16633.728
273	264	9.7	21008	16807.00	33613.992
273	272	4.8	10396	8316.86	16633.728
273	274	12.5	27073	21658.50	43317
274	263	10.5	22741	18193.14	36386.28
274	273	12.5	27073	21658.50	43317
274	308	23.9	51763	41411.05	82822.104
275	49	20.1	18261	14609.48	29218.968
275	56	34.1	30981	24785.24	49570.488
275	278	27	24530	19624.68	39249.36
275	282	20	18171	14536.80	29073.6
275	283	7	6359	5087.88	10175.76
276	94	5	4542	3634.20	7268.4
276	279	20	18171	14536.80	29073.6
277	54	35	31799	25439.40	50878.8
277	55	19.3	17535	14028.01	28056.024
277	89	20.3	18443	14754.85	29509.704
277	280	9	8176	6541.56	13083.12
278	48	3	2725	2180.52	4361.04
278	64	2	4331	3465.36	6930.72
278	275	27	24530	19624.68	39249.36
278	283	28	25439	20351.52	40703.04
278	286	18.5	16808	13446.54	26893.08
279	56	40	36342	29073.60	58147.2
279	57	32	29073	23258.88	46517.76
279	276	20	18171	14536.80	29073.6
279	280	18	16353	13083.12	26166.24
280	90	13	11811	9448.92	18897.84
280	277	9	8176	6541.56	13083.12
280	279	18	16353	13083.12	26166.24
280	281	40	36342	29073.60	58147.2
281	55	20	18171	14536.80	29073.6
281	56	35	31799	25439.40	50878.8
281	280	40	36342	29073.60	58147.2
282	56	34	30890	24712.56	49425.12
282	275	20	18171	14536.80	29073.6
282	285	12	10902	8722.08	17444.16
283	275	7	6359	5087.88	10175.76
283	278	28	25439	20351.52	40703.04
283	284	8.7	7904	6323.51	12647.016
284	283	8.7	7904	6323.51	12647.016
284	285	8.4	7631	6105.46	12210.912
284	286	12.5	11356	9085.50	18171
285	53	12.6	11447	9158.18	18316.368
285	254	7	6359	5087.88	10175.76
285	282	12	10902	8722.08	17444.16
285	284	8.4	7631	6105.46	12210.912
286	278	18.5	16808	13446.54	26893.08
286	284	12.5	11356	9085.50	18171
287	133	8	19166	15333.12	30666.24
287	149	21.6	144682	115745.76	231491.52
288	118	3.2	7666	6133.25	12266.496
288	289	21.1	50551	40441.10	80882.208
289	120	17.2	41207	32966.21	65932.416
289	288	21.1	50551	40441.10	80882.208
289	290	21.8	52228	41782.75	83565.504
290	84	60.9	145904	116723.38	233446.752
290	115	29.5	70676	56540.88	113081.76
290	289	21.8	52228	41782.75	83565.504
290	291	13.4	32103	25682.98	51365.952
291	117	7.4	17728	14183.14	28366.272
291	290	13.4	32103	25682.98	51365.952
292	131	2.2	5270	4216.61	8433.216
292	293	12.6	30187	24149.66	48299.328
293	292	12.6	30187	24149.66	48299.328
293	298	8.1	19405	15524.78	31049.568
294	130	9.8	23478	18783.07	37566.144
294	303	13.2	88416	70733.52	141467.04
295	84	58.5	250982	200786.04	401572.08
295	105	12	28749	22999.68	45999.36
295	106	18	43124	34499.52	68999.04
295	239	17.2	73793	59034.53	118069.056
296	104	14.5	34739	27791.28	55582.56
296	105	15	35937	28749.60	57499.2
296	114	2	4791	3833.28	7666.56
297	148	8.6	57604	46083.96	92167.92
297	298	21.9	146691	117353.34	234706.68
297	300	13.7	91766	73412.82	146825.64
298	293	8.1	19405	15524.78	31049.568
298	297	21.9	146691	117353.34	234706.68
298	299	5.5	36840	29472.30	58944.6
299	298	5.5	36840	29472.30	58944.6
299	300	11	73680	58944.60	117889.2
300	297	13.7	91766	73412.82	146825.64
300	299	11	73680	58944.60	117889.2
300	301	5.8	38849	31079.88	62159.76
301	147	9.2	61623	49299.12	98598.24
301	300	5.8	38849	31079.88	62159.76
302	146	9.5	63633	50906.70	101813.4
302	147	20.8	139323	111458.88	222917.76
302	303	4.7	31481	25185.42	50370.84
303	113	41	274628	219702.60	439405.2
303	294	13.2	88416	70733.52	141467.04
303	302	4.7	31481	25185.42	50370.84
304	144	6	40189	32151.60	64303.2
304	145	9.8	65642	52514.28	105028.56
304	173	3.8	25453	20362.68	40725.36
304	174	2.5	16745	13396.50	26793
305	145	5.2	34830	27864.72	55729.44
305	306	18.2	121908	97526.52	195053.04
306	144	7.2	48227	38581.92	77163.84
306	305	18.2	121908	97526.52	195053.04
306	307	14.7	98464	78771.42	157542.84
307	143	10	66982	53586.00	107172
307	244	15.5	103822	83058.30	166116.6
307	306	14.7	98464	78771.42	157542.84
308	67	2	4331	3465.36	6930.72
308	271	18	38985	31188.24	62376.48
308	274	23.9	51763	41411.05	82822.104
308	310	10.4	22524	18019.87	36039.744
309	58	35.6	32344	25875.50	51751.008
309	59	64.4	58510	46808.50	93616.992
309	95	2	1817	1453.68	2907.36
310	35	9.4	20358	16287.19	32574.384
310	270	4.5	9746	7797.06	15594.12
310	308	10.4	22524	18019.87	36039.744
EndArcs
source	dest	demand	nbTrucks
262	173	591	25
209	105	435	16
210	112	756	28
