120
1
Arcs	Cost	Risk_C1
59	73	17	9
59	79	2	12
59	82	10	5
59	85	13	7
59	86	9	17
59	87	7	9
59	88	13	7
59	89	10	16
59	92	7	20
59	95	14	9
59	97	7	9
59	98	7	9
59	101	7	9
59	103	7	9
59	104	7	9
59	107	5	1
59	110	20	18
60	65	2	13
60	67	20	2
60	68	20	2
60	73	17	9
60	74	17	9
60	78	17	9
60	79	2	12
60	80	17	9
60	82	10	5
60	86	9	17
60	87	7	9
60	89	10	16
60	92	7	20
60	95	14	9
60	99	5	7
60	100	9	1
60	107	5	1
60	110	20	18
61	65	2	13
61	73	17	9
61	79	2	12
61	82	10	5
61	83	14	9
61	85	14	9
61	86	9	17
61	87	7	9
61	88	14	9
61	89	10	16
61	92	7	20
61	95	14	9
61	107	5	1
61	110	20	18
62	65	2	13
62	73	17	9
62	74	10	16
62	77	10	16
62	78	10	16
62	79	2	12
62	82	10	5
62	86	9	17
62	87	7	9
62	89	10	16
62	92	7	20
62	95	14	9
62	107	5	1
62	110	20	18
63	65	2	13
63	73	17	9
63	79	2	12
63	82	10	5
63	86	9	17
63	87	7	9
63	89	10	16
63	92	7	20
63	95	14	9
63	107	5	1
63	110	20	18
64	65	2	13
64	73	17	9
64	79	2	12
64	82	10	5
64	86	9	17
64	87	7	9
64	89	10	16
64	92	7	20
64	95	14	9
64	107	5	1
64	109	13	1
64	110	20	18
65	74	9	17
65	78	10	5
65	81	12	9
65	83	14	9
65	85	10	16
65	88	7	20
65	103	7	9
65	105	11	2
65	109	7	2
65	118	20	18
66	73	13	10
66	74	9	17
66	78	10	5
66	80	13	10
66	81	12	9
66	83	14	9
66	85	10	16
66	88	7	20
66	103	7	9
66	105	11	2
66	109	7	2
66	118	20	18
67	74	9	17
67	78	10	5
67	79	5	7
67	81	12	9
67	82	9	16
67	83	14	9
67	85	10	16
67	86	9	16
67	87	9	16
67	88	7	20
67	103	7	9
67	105	11	2
67	109	7	2
67	118	20	18
68	74	9	17
68	78	10	5
68	79	1	17
68	81	12	9
68	83	14	9
68	85	10	16
68	88	7	20
68	92	1	17
68	97	2	13
68	99	1	17
68	103	7	9
68	104	2	13
68	105	11	2
68	109	7	2
68	118	20	18
69	73	2	9
69	74	9	17
69	78	10	5
69	80	2	9
69	81	12	9
69	83	14	9
69	85	10	16
69	88	7	20
69	103	7	9
69	105	11	2
69	108	2	9
69	109	7	2
69	110	2	9
69	111	2	9
69	112	2	9
69	113	2	9
69	114	2	9
69	115	2	9
69	117	2	9
69	118	20	18
70	74	9	17
70	78	10	5
70	81	12	9
70	83	14	9
70	85	10	16
70	88	7	20
70	103	7	9
70	105	11	2
70	109	7	2
70	118	20	18
71	74	9	17
71	78	10	5
71	81	12	9
71	83	14	9
71	85	10	16
71	88	7	20
71	103	7	9
71	105	11	2
71	109	7	2
71	118	20	18
72	74	9	17
72	78	10	5
72	81	12	9
72	83	14	9
72	85	10	16
72	86	16	1
72	87	16	1
72	88	7	20
72	103	7	9
72	105	11	2
72	109	7	2
72	118	20	18
73	83	7	9
73	85	17	9
73	88	7	20
73	89	10	16
73	90	9	17
73	92	12	9
73	97	14	9
73	98	20	18
73	103	2	13
73	104	10	5
73	109	2	5
73	113	2	5
74	81	17	13
74	83	7	9
74	85	17	9
74	86	17	13
74	87	17	13
74	88	7	20
74	89	10	16
74	90	9	17
74	92	12	9
74	97	14	9
74	98	20	18
74	103	2	13
74	104	10	5
75	83	7	9
75	85	17	9
75	88	7	20
75	89	10	16
75	90	9	17
75	92	12	9
75	97	14	9
75	98	20	18
75	103	2	13
75	104	10	5
75	110	16	2
76	83	7	9
76	85	17	9
76	88	7	20
76	89	10	16
76	90	9	17
76	92	12	9
76	97	14	9
76	98	20	18
76	103	2	13
76	104	10	5
76	105	16	20
76	107	16	20
76	108	16	20
76	109	11	2
76	110	16	20
76	111	16	20
76	112	16	20
76	113	16	20
76	115	16	20
77	83	7	9
77	85	17	9
77	88	7	20
77	89	10	16
77	90	9	17
77	92	12	9
77	97	14	9
77	98	20	18
77	103	2	13
77	104	10	5
78	83	7	9
78	85	17	9
78	88	7	20
78	89	10	16
78	90	9	17
78	92	12	9
78	97	14	9
78	98	20	18
78	103	2	13
78	104	10	5
79	83	7	9
79	85	17	9
79	88	7	20
79	89	10	16
79	90	9	17
79	92	12	9
79	97	14	9
79	98	20	18
79	103	2	13
79	104	10	5
80	83	7	9
80	85	17	9
80	88	7	20
80	89	10	16
80	90	9	17
80	92	12	9
80	97	14	9
80	98	20	18
80	100	18	5
80	103	2	13
80	104	10	5
80	105	7	9
80	107	7	9
80	108	7	9
80	110	7	9
80	111	7	9
80	112	7	9
80	113	7	9
80	115	7	9
81	89	14	9
81	93	7	9
81	97	7	2
81	98	12	9
81	100	10	5
81	101	10	16
81	104	20	18
81	109	17	9
81	110	9	17
81	116	7	20
82	89	14	9
82	93	7	9
82	97	7	2
82	98	12	9
82	100	10	5
82	101	10	16
82	104	20	18
82	109	17	9
82	110	9	17
82	116	7	20
83	89	14	9
83	93	7	9
83	97	7	2
83	98	12	9
83	99	1	14
83	100	10	5
83	101	10	16
83	104	20	18
83	108	8	20
83	109	17	9
83	110	9	17
83	113	8	20
83	116	7	20
84	89	14	9
84	93	7	9
84	97	7	2
84	98	12	9
84	100	10	5
84	101	10	16
84	104	20	18
84	109	17	9
84	110	9	17
84	116	7	20
85	89	14	9
85	93	7	9
85	97	7	2
85	98	12	9
85	100	10	5
85	101	10	16
85	104	20	18
85	109	17	9
85	110	9	17
85	116	7	20
86	89	14	9
86	93	7	9
86	97	7	2
86	98	12	9
86	100	10	5
86	101	10	16
86	104	20	18
86	109	17	9
86	110	9	17
86	116	7	20
87	89	14	9
87	93	7	9
87	97	7	2
87	98	12	9
87	100	10	5
87	101	10	16
87	104	20	18
87	109	17	9
87	110	9	17
87	116	7	20
88	89	14	9
88	93	7	9
88	97	7	2
88	98	12	9
88	100	10	5
88	101	10	16
88	104	20	18
88	109	17	9
88	110	9	17
88	116	7	20
89	98	5	7
89	101	5	18
89	103	14	9
89	104	7	20
89	105	2	13
89	106	7	2
89	107	12	9
89	109	17	9
89	110	16	8
89	111	16	8
89	112	10	5
89	113	10	16
89	116	9	17
90	98	5	7
90	103	14	9
90	104	7	20
90	105	2	13
90	106	7	2
90	107	12	9
90	109	17	9
90	112	10	5
90	113	10	16
90	116	9	17
91	98	5	7
91	103	14	9
91	104	7	20
91	105	2	13
91	106	7	2
91	107	12	9
91	109	17	9
91	112	10	5
91	113	10	16
91	116	9	17
92	98	5	7
92	103	14	9
92	104	7	20
92	105	2	13
92	106	7	2
92	107	12	9
92	109	17	9
92	112	10	5
92	113	10	16
92	116	9	17
93	98	5	7
93	103	14	9
93	104	7	20
93	105	2	13
93	106	7	2
93	107	12	9
93	109	17	9
93	112	10	5
93	113	10	16
93	116	9	17
94	98	5	7
94	103	14	9
94	104	7	20
94	105	2	13
94	106	7	2
94	107	12	9
94	109	17	9
94	112	10	5
94	113	10	16
94	116	9	17
95	98	5	7
95	103	14	9
95	104	7	20
95	105	2	13
95	106	7	2
95	107	12	9
95	109	17	9
95	112	10	5
95	113	10	16
95	116	9	17
96	98	5	7
96	103	14	9
96	104	7	20
96	105	2	13
96	106	7	2
96	107	12	9
96	108	1	11
96	109	17	9
96	110	1	11
96	111	1	11
96	112	10	5
96	113	10	16
96	116	9	17
97	106	7	20
97	108	9	17
97	109	17	9
97	111	10	16
97	113	2	13
97	114	10	5
97	115	7	2
97	116	5	7
97	117	14	9
97	118	12	9
98	106	7	20
98	108	9	17
98	109	17	9
98	111	10	16
98	113	2	13
98	114	10	5
98	115	7	2
98	116	5	7
98	117	14	9
98	118	12	9
99	106	7	20
99	108	9	17
99	109	17	9
99	111	10	16
99	113	2	13
99	114	10	5
99	115	7	2
99	116	5	7
99	117	14	9
99	118	12	9
100	106	7	20
100	108	9	17
100	109	17	9
100	111	10	16
100	113	2	13
100	114	10	5
100	115	7	2
100	116	5	7
100	117	14	9
100	118	12	9
101	106	7	20
101	108	9	17
101	109	17	9
101	111	10	16
101	113	2	13
101	114	10	5
101	115	7	2
101	116	5	7
101	117	14	9
101	118	12	9
102	106	7	20
102	108	9	17
102	109	17	9
102	111	10	16
102	113	2	13
102	114	10	5
102	115	7	2
102	116	5	7
102	117	14	9
102	118	12	9
103	106	7	20
103	108	9	17
103	109	17	9
103	111	10	16
103	113	2	13
103	114	10	5
103	115	7	2
103	116	5	7
103	117	14	9
103	118	12	9
104	106	7	20
104	108	9	17
104	109	17	9
104	111	10	16
104	113	2	13
104	114	10	5
104	115	7	2
104	116	5	7
104	117	14	9
104	118	12	9
105	119	17	7
106	119	20	2
107	119	16	14
108	119	10	10
109	119	12	11
110	119	10	10
111	119	2	5
112	119	9	11
113	119	10	10
114	119	18	5
115	119	9	11
116	119	20	2
117	119	16	1
118	119	16	1
11	12	15	2
11	13	15	2
12	13	12	10
12	14	18	10
12	15	18	10
13	14	16	15
13	15	16	15
13	16	7	13
19	20	18	10
19	21	18	10
20	21	3	14
20	22	3	14
20	23	6	16
27	30	1	14
34	41	5	1
EndArcs
source	dest	demand	nbTrucks
0	119	9230	40
